"";"Probe Set";"median hmcl";"median ppc";"median nd";"median bm";"mean hmcl";"mean ppc";"mean nd";"mean bm";"Gen";"correlation";"Bergsagel Gen";"Rosenwald Gen"
"52";"A_219918_s_at";9,254895723987;8,68178027922753;3,36565011006078;3,32327990054412;9,48276416510281;8,75788595333849;3,3852650382625;3,31334072480283;"ASPM";0,51048951048951;"yes";"yes"
"20";"A_204092_s_at";8,7734295375179;8,88807864143111;3,180228602569;3,11651908852567;8,59399856506771;8,88214692148485;3,23400312583899;3,09829067730945;"AURKA";0,321678321678322;"yes";"no"
"34";"A_208079_s_at";9,83501968358348;9,87913393972006;3,49748584578901;3,45212747199614;9,77190664553523;9,8698235727666;3,52598094650423;3,56423430288466;"AURKA";0,51048951048951;"yes";"no"
"36";"A_209464_at";7,30357970280723;8,16019267860037;3,26087302672332;3,08331879747753;7,272070348267;7,98646862145501;3,22177651032255;3,05374903771215;"AURKB";0,447552447552448;"no";"no"
"5";"A_202094_at";6,1882634914453;6,06456485435386;2,16885343224324;2,13062960279978;6,17214325237858;6,25904717697964;2,17254444721544;2,11501593810504;"BIRC5";-0,027972027972028;"yes";"no"
"6";"A_202095_s_at";9,01978156868224;8,14314200326854;3,1839275160352;3,11437230453812;8,93543374034015;8,19388327064002;3,15343437534678;3,09972154285275;"BIRC5";-0,006993006993007;"yes";"no"
"26";"A_204531_s_at";7,18102751357746;7,1196876622259;5,06560930165353;4,89041311353103;7,18968182033653;7,17907295877721;4,94155434782297;4,80880492272908;"BRCA1";0,0839160839160839;"no";"no"
"37";"A_209642_at";9,75544174725837;9,66328440577232;3,27555551614584;3,21223210329701;9,50797860671727;9,67875917198175;3,29949632265858;3,22026250223051;"BUB1";-0,0839160839160839;"yes";"no"
"15";"A_203755_at";10,7032960294672;10,1335044193246;4,08322682056252;4,23898198611074;10,7243588407932;10,1419279608802;4,11419982393922;4,27884357174646;"BUB1B";0,216783216783217;"no";"no"
"13";"A_203418_at";6,48297244466351;7,64907274768589;2,92428727819296;2,83639429655116;6,80944469730401;7,66673900862464;2,96830724770654;2,79987488124418;"CCNA2";0,349650349650350;"no";"no"
"46";"A_214710_s_at";10,5938735141186;10,3956718573454;3,91937467537282;3,31647201956162;10,6634464007495;10,5435953733735;3,90791051352556;3,57052675338382;"CCNB1";0,188811188811189;"no";"no"
"7";"A_202705_at";10,8335890463541;10,8260911193937;6,0156000446278;5,89696481561914;10,7666941616047;10,7902180242991;5,87220619705114;5,98347374026205;"CCNB2";0,426573426573427;"yes";"no"
"11";"A_203213_at";10,0463867571378;8,62478876409602;3,98869738573933;5,00970220965615;9,86486341570798;8,99641048556422;3,93238725997628;4,8438757638147;"CDC2";0,503496503496504;"yes";"yes"
"40";"A_210559_s_at";8,31016325295155;7,80813474231945;2,96805277177419;2,84406218833001;8,20936436336166;7,86848279713894;2,9715628545763;2,81043730807771;"CDC2";0,13986013986014;"yes";"yes"
"8";"A_202870_s_at";9,15050879915782;9,50930022340426;2,45477838335080;2,34346485749191;8,93342961768796;9,27300184936189;2,59318632179612;2,32961943818632;"CDC20";0,363636363636364;"no";"yes"
"29";"A_205167_s_at";6,22962964730963;6,27403853980389;3,23484333086073;3,12143815230199;6,12096344248723;6,0594277790729;3,19251751804080;3,09137586500618;"CDC25C";0,272727272727273;"no";"no"
"17";"A_203967_at";6,55908755192675;6,46484937013042;2,27051988418789;2,1883806232062;6,44289695216117;6,27955181376681;2,28243164535161;2,18208796876084;"CDC6";-0,027972027972028;"no";"no"
"18";"A_203968_s_at";7,88386183779208;7,25300030693492;4,03833351076539;3,49838566683036;7,70515895207628;7,36008849230338;4,09297261985068;3,53004694568480;"CDC6";0,335664335664336;"no";"no"
"54";"A_221520_s_at";6,74647224178849;7,01891311676788;5,01604374567455;4,89918148972752;6,90423303252511;7,04971971695306;5,06485615726917;4,89279557344434;"CDCA8";0,195804195804196;"no";"no"
"38";"A_209714_s_at";9,54622183494693;10,0722450658370;5,38670045775237;4,66272378872497;9,50265531937936;9,91389881874336;5,20520120897507;4,54256604048610;"CDKN3";0,097902097902098;"no";"no"
"47";"A_218542_at";9,59082944430062;9,39480273424568;3,44500836908428;3,20526813647179;9,3507787657743;9,24488233048188;3,43425409020626;3,09071589387484;"CEP55";-0,013986013986014;"yes";"no"
"31";"A_205393_s_at";8,02355011733651;7,37177984302378;4,68196360406507;4,74655427007495;7,84360897539443;7,552937096139;4,80856755216907;4,65662715880560;"CHEK1";0,237762237762238;"no";"no"
"32";"A_205394_at";7,9757228794287;7,73101625018907;2,98499189427525;2,86826538609598;7,8877720710993;7,85204143932034;3,13511719228913;3,06583701500848;"CHEK1";0,202797202797203;"no";"no"
"3";"A_201897_s_at";11,4599252742837;10,2017456043804;6,26026505080082;6,09112188948733;11,4259364936972;10,1495709540344;6,40836635797668;6,12387643988094;"CKS1B";0,664335664335664;"no";"no"
"22";"A_204170_s_at";11,4024864377410;10,7879183510607;5,61746957692934;7,84510275870749;11,4220213473685;11,0481674373369;5,74068435936551;7,70539612712847;"CKS2";-0,153846153846154;"no";"no"
"16";"A_203764_at";9,51955769068578;10,2543408923700;3,84714574089111;3,63764446909578;9,4752883673815;10,1030744385559;3,85782938232425;3,61774201942221;"DLG7";0,356643356643357;"no";"no"
"57";"A_38158_at";8,95123058366697;9,17636393437808;5,16456414303543;5,44199183078729;8,80860445228369;9,06790307542242;5,14743545461472;5,53626206316535;"ESPL1";-0,223776223776224;"no";"no"
"33";"A_206102_at";9,28572187917;9,38635753263882;3,35793552501213;3,28454529922979;9,46049093349851;9,23229938621488;3,53773325988406;3,43799067384976;"GINS1";-0,111888111888112;"no";"no"
"24";"A_204318_s_at";6,74416674148489;7,70957304734618;5,14835924493166;4,82075644310697;6,56292292870837;7,62527051045526;5,05679104021414;4,77550680015455;"GTSE1";0,181818181818182;"no";"no"
"43";"A_213007_at";8,60853259016317;8,50893429610676;5,22176937965904;5,07763535571944;8,58955475711763;8,55460802903447;5,01843813289279;5,09192400230371;"KIAA1794";0,181818181818182;"no";"no"
"44";"A_213008_at";6,90621960827723;6,2172164882869;2,62954734698033;2,48213161559111;6,8158443823801;6,23220292293011;2,71916185473554;2,54570006291174;"KIAA1794";-0,06993006993007;"no";"no"
"25";"A_204444_at";8,8295534381608;8,92442235314465;2,95087180478799;2,90422016848011;8,73283870353244;8,87358481287283;3,01741328901261;3,24353752159461;"KIF11";0,090909090909091;"no";"no"
"50";"A_219306_at";9,05535958416858;8,18956293976992;2,55354340791816;2,49029685889323;8,86821340995855;8,2798365287408;2,54447422247500;2,49178814835052;"KIF15 /// NPVF";-0,181818181818182;"no";"no"
"49";"A_218755_at";7,8901514962621;7,67607775595817;3,00261353364647;3,04143817523184;7,99179225960723;7,80195484206904;3,00660169831782;3,10398986250239;"KIF20A";0,258741258741259;"no";"no"
"35";"A_209408_at";8,38832280403388;8,1327313984346;2,50206203642899;2,38455949591985;8,55405771280345;8,34363389570123;2,83813587311894;2,765974706384;"KIF2C";0,286713286713287;"no";"no"
"21";"A_204162_at";9,47660200344915;8,87983097570143;4,38370169094036;4,65320344274863;9,23152330580842;8,79365418811785;4,38219559532742;4,75423994904447;"KNTC2";0,013986013986014;"no";"no"
"12";"A_203362_s_at";10,6162653523021;10,0812728063102;6,11679698146477;6,29549424883827;10,5897213470739;10,1183859472188;6,1059621873258;6,23925662632852;"MAD2L1";0,188811188811189;"no";"no"
"53";"A_220651_s_at";8,46214489534718;7,84245066385773;2,67347104077736;2,63035774177218;8,27420390138874;7,88744286720835;2,68997367406532;2,62080875055252;"MCM10";0,055944055944056;"no";"no"
"4";"A_201930_at";11,0700872121693;10,5845363193473;6,06006384703076;8,05879156254732;11,0069868423505;10,5833249291931;6,16127453130082;8,02515462858406;"MCM6";0;"no";"no"
"41";"A_212021_s_at";8,25873381940527;9,57371817345819;2,73764674504905;2,79078566942376;8,17556523175185;9,54161267091964;2,66093113375708;2,91716354014980;"MKI67";0,293706293706294;"no";"no"
"42";"A_212789_at";9,01298217346246;7,90503432778265;5,03067198031124;5,18907909432677;8,84789991592276;8,04727314063198;5,12013157655614;5,35044768956658;"NCAPD3";0,111888111888112;"no";"no"
"48";"A_218662_s_at";9,94891512976517;9,76136874333031;6,6568889985559;6,02433350303416;9,90895813209724;9,84387773726314;6,77094826958719;6,0678333275486;"NCAPG";0,328671328671329;"no";"no"
"51";"A_219588_s_at";8,09143818194416;8,03216363043158;4,36385904150352;4,44617155825558;8,16004708435177;8,07096002277885;4,43122258934878;4,43485458591146;"NCAPG2";-0,111888111888112;"no";"no"
"27";"A_204641_at";9,70260606030834;8,59498588496382;3,42595001612535;3,34988611351588;9,49108637364182;8,39992455649709;3,54212114245776;3,44596521323653;"NEK2";0,356643356643357;"yes";"no"
"55";"A_221923_s_at";12,252994160657;12,1505481014757;10,4056441126011;10,8010378621117;12,1857049861787;12,1385491630771;10,5278743199763;10,8020689397882;"NPM1";-0,048951048951049;"no";"no"
"9";"A_202954_at";10,8750787804983;10,6026406165415;7,20287869292475;7,11807329526591;10,6179501806798;10,7454978341045;7,20633205395391;7,1918419017662;"PAK3 /// UBE2C";0,426573426573427;"no";"no"
"2";"A_201202_at";11,2486073373028;11,4694354265333;7,57041246452787;7,42577429212218;11,191590888275;11,1946722007330;7,70251437167578;7,63573393657914;"PCNA";0,524475524475525;"no";"yes"
"1";"A_200886_s_at";13,1462055765171;13,3603350892784;11,5214236636701;11,6528909238460;13,1144856556771;13,4306590341953;11,6256390198489;11,7347656807276;"PGAM1 /// LOC642969 /// LOC643576";0,146853146853147;"no";"no"
"28";"A_204887_s_at";7,56591585784996;7,24385998621548;3,87973923313927;3,86912393626161;7,23763109960473;7,31661024353371;3,90994646105292;3,85912966413247;"PLK4";-0,0349650349650350;"no";"no"
"14";"A_203554_x_at";11,1070571286307;11,5798819442170;7,05379249686497;8,17268182028675;11,2531052029006;11,5837106873264;7,20923320467381;8,0729979530984;"PTTG1";0,426573426573427;"no";"no"
"56";"A_222077_s_at";8,15122887296687;8,31616351680652;3,23615554143351;3,17292785300248;8,14263861789436;8,19280761978205;3,48299302078538;3,3748067294185;"RACGAP1";0,181818181818182;"no";"no"
"23";"A_204240_s_at";8,27551969841442;8,16204625564989;3,20263980759178;3,12401936622146;8,22439849002825;8,20265734227621;3,2009960233627;3,0905732839613;"SMC2";-0,797202797202797;"no";"no"
"45";"A_213253_at";8,28823993965611;7,6637179320872;3,96985539174787;4,39351264612891;8,19430886087635;7,84739533817742;4,04478901107801;4,37551652926443;"SMC2";-0,398601398601399;"no";"no"
"10";"A_203145_at";7,30488192411112;7,84767662434157;4,88535278965142;4,58113769255272;7,34548772411304;7,57519034601486;4,87622114113413;4,59846367891762;"SPAG5";0,125874125874126;"no";"no"
"30";"A_205339_at";8,12099578931984;8,65288230800137;5,28913632322539;5,32534707599486;8,14927791501342;8,7911739621329;5,25384451815272;5,43794139839004;"STIL";0,27972027972028;"no";"no"
"39";"A_210052_s_at";10,1372404556155;9,96329701385191;4,55811482335012;4,41629090521446;10,0192859832214;9,82319036046876;4,62492622785985;4,45916586723681;"TPX2";0,202797202797203;"no";"no"
"19";"A_204026_s_at";10,7218164743520;10,8130247851344;4,92572364297739;4,83112307014996;10,5126715820407;10,7722706583520;4,67956003834115;4,75633285021149;"ZWINT";0,258741258741259;"no";"no"
