A Array Name	A UniGene Cluster	A Probe Set Name	B Array Name	B UniGene Cluster	B Probe Set Name	Percent Identity	Match	MinLen(Rep(A),Rep(B))	A Matches B Probe Selection Region	A Total Probes in Probe Set	B Matches A Probe Selection Region	B Total Probes in Probe Set	A Matches B Representative	B Matches A Representative	SIF Percent Identity	SIF Match	MinLen(SIF(A),SIF(B))	Good Match	Best Match
HG-U95Av2		1000_at	HG-U133A	Hs.861	212046_x_at	100	1836	1866	15	16	11	11	15	11	98	400	409	Y	Y
HG-U95Av2		1001_at	HG-U133A	Hs.78824	204468_s_at	100	3417	3417	7	16	7	11	16	7	100	177	395	Y	Y
HG-U95Av2		1002_f_at	HG-U133A	Hs.296816	216058_s_at	100	1072	1072	7	16	3	11	16	3	100	49	338	Y	Y
HG-U95Av2		1004_at	HG-U133A	Hs.113916	206126_at	100	2760	2760	16	16	11	11	16	11	100	366	401	Y	Y
HG-U95Av2		1006_at	HG-U133A	Hs.2258	205680_at	100	1431	1431	12	16	7	11	16	7	100	172	451	Y	Y
HG-U95Av2		1007_s_at	HG-U133A	Hs.75562	210749_x_at	100	3641	3738	15	16	11	11	16	11	100	535	553	Y	Y
HG-U95Av2		1008_f_at	HG-U133A	Hs.274382	204211_x_at	100	2808	2808	16	16	11	11	16	11	100	545	545	Y	Y
HG-U95Av2		1009_at	HG-U133A	Hs.256697	207721_x_at	100	641	641	16	16	11	11	16	11	100	354	367	Y	Y
HG-U95Av2		100_g_at	HG-U133A	Hs.78920	203573_s_at	100	2067	2067	16	16	11	11	16	11	100	377	379	Y	Y
HG-U95Av2		1010_at	HG-U133A	Hs.57732	211500_at	100	2180	2180	16	16	11	11	16	11	100	360	361	Y	Y
HG-U95Av2		1011_s_at	HG-U133A	Hs.79474	210996_s_at	100	1700	1705	12	16	11	11	16	11	100	275	326	Y	Y
HG-U95Av2		1014_at	HG-U133A	Hs.80961	203366_at	100	4320	4320	15	16	9	11	16	9	100	254	255	Y	Y
HG-U95Av2		1015_s_at	HG-U133A	Hs.36566	204357_s_at	100	3185	3186	12	16	10	11	16	11	100	166	281	Y	Y
HG-U95Av2		1016_s_at	HG-U133A	Hs.25954	206172_at	100	1382	1382	10	16	11	11	16	11	100	116	169	Y	Y
HG-U95Av2		1018_at	HG-U133A	Hs.91985	206213_at	100	2305	2305	12	16	11	11	16	11	100	187	232	Y	Y
HG-U95Av2		1019_g_at	HG-U133A	Hs.91985	206213_at	100	2305	2305	16	16	11	11	16	11	100	162	270	Y	Y
HG-U95Av2		101_at	HG-U133A	Hs.17154	212954_at	100	724	724	11	16	9	11	15	9	100	363	478	Y	Y
HG-U95Av2		1020_s_at	HG-U133A	Hs.10803	201953_at	100	905	905	16	16	11	11	16	11	100	421	431	Y	Y
HG-U95Av2		1021_at	HG-U133A	Hs.856	210354_at	100	987	993	5	16	8	11	5	10	100	101	313	Y	Y
HG-U95Av2		1022_f_at	HG-U133A	Hs.93907	208182_x_at	100	985	985	14	16	11	11	16	11	100	438	438	Y	Y
HG-U95Av2		1023_at	HG-U133A	Hs.2303	207257_at	100	1325	1342	12	16	6	11	12	6	99	278	282	Y	Y
HG-U95Av2		1024_at	HG-U133A	Hs.72912	205749_at	100	2479	2480	10	16	11	11	16	11	100	18	109	Y	Y
HG-U95Av2		1025_g_at	HG-U133A	Hs.72912	205749_at	100	2479	2480	16	16	11	11	16	11	100	336	402	Y	Y
HG-U95Av2		1026_s_at	HG-U133A	Hs.121509	216993_s_at	99	340	348	15	16	4	11	16	4	100	163	290	Y	Y
HG-U95Av2		1027_at	HG-U133A	Hs.121509	213870_at	100	975	1260	5	16	6	11	5	7	100	289	508	Y	Y
HG-U95Av2		1028_at	HG-U133A	Hs.91175	204946_s_at	100	3755	3755	15	16	11	11	16	11	100	504	504	Y	Y
HG-U95Av2		1030_s_at	HG-U133A	Hs.317	208901_s_at	100	3424	3477	15	16	11	11	16	11	100	540	540	Y	Y
HG-U95Av2		1031_at	HG-U133A	Hs.75761	202200_s_at	100	4325	4326	13	16	11	11	16	11	100	339	361	Y	Y
HG-U95Av2		1034_at	HG-U133A	Hs.245188	201149_s_at	100	1224	1240	16	16	11	11	16	11	100	203	211	Y	Y
HG-U95Av2		1035_g_at	HG-U133A	Hs.245188	201149_s_at	100	1224	1240	16	16	11	11	16	11	100	213	319	Y	Y
HG-U95Av2		1036_at	HG-U133A	Hs.168132	205992_s_at	100	1202	1202	13	16	11	11	16	11	100	195	195	Y	Y
HG-U95Av2		1037_at	HG-U133A	Hs.2355	207712_at	100	1004	1004	16	16	11	11	16	11	100	445	445	Y	Y
HG-U95Av2		1038_s_at	HG-U133A	Hs.180866	202727_s_at	100	2043	2059	14	16	10	11	16	10	99	192	258	Y	Y
HG-U95Av2		1039_s_at	HG-U133A	Hs.197540	200989_at	100	3677	3678	14	16	11	11	16	11	100	401	405	Y	Y
HG-U95Av2		103_at	HG-U133A	Hs.75774	204776_at	100	2886	2886	13	16	10	11	16	11	100	414	424	Y	Y
HG-U95Av2		1040_s_at	HG-U133A	Hs.256315	207268_x_at	100	1430	1430	16	16	11	11	16	11	100	101	120	Y	Y
HG-U95Av2		1041_at	HG-U133A	Hs.37142	207301_at	100	1574	1574	15	16	11	11	16	11	100	500	535	Y	Y
HG-U95Av2		1042_at	HG-U133A	Hs.82547	206391_at	100	845	846	16	16	11	11	16	11	100	440	457	Y	Y
HG-U95Av2		1043_s_at	HG-U133A	Hs.89571	205647_at	100	2592	2592	15	16	11	11	16	11	100	327	327	Y	Y
HG-U95Av2		1046_at	HG-U133A	Hs.27610	203596_s_at	100	3905	3906	16	16	11	11	16	11	100	558	558	Y	Y
HG-U95Av2		1047_s_at	HG-U133A	Hs.278657	216320_x_at	100	2292	2292	13	16	11	11	16	11	100	469	520	Y	Y
